"","Codi.districte","Codi.barri","Codi.carrer","Num.postal.caption","Descripció.dia.setmana","NK.Any","Nom.mes","Dia.de.mes","Hora.de.dia","Descripció.causa.vianant","Desc..Tipus.vehicle.implicat","Descripció.sexe","Descripció.tipus.persona","Edat","Descripció.victimització","Coordenada.UTM..Y.","Coordenada.UTM..X."
"10065",6,31,203100,"0013 0013","Dissabte",2015,"Novembre",21,10,"No és causa del  vianant","Autobús","Home","Conductor",41,"Ferit lleu",4583899.25,429640.02
"10066",6,31,88500,"0053 0053","Dijous",2015,"Novembre",5,10,"No és causa del  vianant","Motocicleta","Home","Conductor",26,"Ferit lleu",4584467,429829.62
"10067",6,32,305100,"0153 0153","Diumenge",2015,"Maig",3,9,"No és causa del  vianant","Motocicleta","Home","Conductor",30,"Ferit lleu",4583922.53,430357.01
"10068",6,31,340406,"0060 0060","Divendres",2015,"Juny",19,9,"No és causa del  vianant","Motocicleta","Home","Conductor",38,"Ferit lleu",4584408.2,429897.9
"10071",6,32,149605,"0042 0042","Divendres",2015,"Febrer",6,10,"Altres","Motocicleta","Home","Vianant",79,"Ferit lleu",4584119.93,430491.08
"10072",6,31,109203,"0050 0050","Dimarts",2015,"Febrer",17,9,"No és causa del  vianant","Taxi","Home","Conductor",38,"Ferit lleu",4584429.39,429913.46
"10073",6,32,286504,"0289 0289","Dijous",2015,"Desembre",10,12,"No és causa del  vianant","Motocicleta","Home","Conductor",37,"Ferit lleu",4584203.27,430290.89
"10075",6,32,149605,"0106 0106","Dijous",2015,"Maig",7,6,"No és causa del  vianant","Turismo","Home","Passatger",57,"Ferit lleu",4584318.86,430291.68
"10076",6,32,149605,"0106 0106","Dijous",2015,"Maig",7,6,"No és causa del  vianant","Turismo","Home","Conductor",50,"Ferit lleu",4584318.86,430291.68
"10080",6,31,109203,"0016 0016","Dijous",2015,"Maig",28,10,"No és causa del  vianant","Motocicleta","Home","Conductor",51,"Ferit lleu",4584310.32,429768.04
"10083",6,32,144306,"0000 0000","Dimecres",2015,"Setembre",23,1,"No és causa del  vianant","Ciclomotor","Home","Conductor",18,"Ferit lleu",4584671.64,430181.47
"10084",6,32,161407,"0057 0059","Dimarts",2015,"Setembre",15,10,"No és causa del  vianant","Motocicleta","Home","Conductor",64,"Ferit lleu",4584215.35,430524.47
"10085",6,32,184708,"0014 0014","Dijous",2015,"Agost",6,9,"No és causa del  vianant","Ciclomotor","Home","Passatger",20,"Ferit lleu",4584292.61,430507.6
"10086",6,32,286504,"0262 0262","Divendres",2015,"Febrer",20,1,"No és causa del  vianant","Furgoneta","Home","Conductor",31,"Ferit lleu",4583974.43,430549.48
"10087",6,32,217807,"0025 0025","Dijous",2015,"Agost",6,10,"No és causa del  vianant","Furgoneta","Home","Conductor",28,"Ferit lleu",4584838.43,429890.83
"10088",6,32,168202,"0010 0014","Divendres",2015,"Gener",16,3,"No és causa del  vianant","Motocicleta","Home","Conductor",47,"Ferit lleu",4584395.41,430179.64
"10089",6,32,32007,"0001 0001","Dilluns",2015,"Maig",18,1,"No és causa del  vianant","Motocicleta","Home","Conductor",25,"Ferit lleu",4584824.76,429806.71
"10090",6,32,90309,"0010 0010","Dimecres",2015,"Desembre",30,1,"No és causa del  vianant","Ciclomotor","Home","Conductor",31,"Ferit lleu",4584134.58,430807.95
"10092",6,32,234453,"0010B0010B","Dissabte",2015,"Maig",16,10,"No és causa del  vianant","Motocicleta","Home","Conductor",34,"Ferit lleu",4584966.41,429915.18
"10093",7,38,352507,"0118 0118","Dilluns",2015,"Gener",26,6,"No és causa del  vianant","Turismo","Home","Passatger",27,"Ferit lleu",4586195.82,428341.16
"10094",7,38,312604,"0004B0004B","Dilluns",2015,"Maig",25,7,"No és causa del  vianant","Motocicleta","Home","Conductor",25,"Ferit lleu",4586192.83,428974.62
"10095",7,38,122700,"0031 0031","Divendres",2015,"Gener",9,7,"No és causa del  vianant","Turismo","Home","Vianant",77,"Ferit lleu",4586370.08,428578.34
