"","Codi.districte","Codi.barri","Codi.carrer","Num.postal.caption","Descripció.dia.setmana","NK.Any","Nom.mes","Dia.de.mes","Hora.de.dia","Descripció.causa.vianant","Desc..Tipus.vehicle.implicat","Descripció.sexe","Descripció.tipus.persona","Edat","Descripció.victimització","Coordenada.UTM..Y.","Coordenada.UTM..X."
"9822",4,21,176153,"0001 0001","Dijous",2015,"Juny",18,9,"No és causa del  vianant","Motocicleta","Dona","Conductor",37,"Ferit lleu",4582711.72,427042.69
"9823",4,20,144601,"0629 0629","Dimarts",2015,"Abril",14,4,"No és causa del  vianant","Motocicleta","Dona","Conductor",19,"Ferit greu",4582337.48,426980.57
"9828",4,20,144601,"0649 0651","Dijous",2015,"Juny",11,10,"No és causa del  vianant","Motocicleta","Dona","Conductor",32,"Ferit lleu",4582013.24,425960.22
"9829",4,20,144601,"0649 0651","Diumenge",2015,"Gener",4,9,"No és causa del  vianant","Turismo","Dona","Conductor",26,"Ferit lleu",4582013.24,425960.22
"9833",4,20,700811,"0023 0023","Divendres",2015,"Juliol",10,9,"No és causa del  vianant","Bicicleta","Dona","Conductor",50,"Ferit lleu",4581542.53,425482.01
"9834",4,20,700945,"0005 0005","Dimecres",2015,"Març",18,8,"No és causa del  vianant","Motocicleta","Dona","Conductor",28,"Ferit lleu",4581181.22,425700.2
"9836",4,20,207202,"0002 0004","Dijous",2015,"Setembre",17,3,"No és causa del  vianant","Motocicleta","Dona","Conductor",26,"Ferit lleu",4581752.09,427077.21
"9838",4,20,244209,"0019 0019","Dissabte",2015,"Març",7,12,"No és causa del  vianant","Turismo","Dona","Conductor",62,"Ferit lleu",4581952.94,426661.53
"9839",4,20,244209,"0020 0020","Divendres",2015,"Desembre",11,4,"No és causa del  vianant","Motocicleta","Dona","Conductor",44,"Ferit lleu",4582066.07,426741.27
"9840",4,20,244209,"0020 0020","Dimecres",2015,"Novembre",18,8,"No és causa del  vianant","Ciclomotor","Dona","Conductor",30,"Ferit lleu",4582066.07,426741.27
"9844",4,20,247353,"0000 0000","Dimarts",2015,"Abril",7,12,"No és causa del  vianant","Ciclomotor","Dona","Conductor",19,"Ferit lleu",4581868.52,426278.56
"9845",4,20,23800,"0059 0059","Dimarts",2015,"Abril",7,10,"No és causa del  vianant","Turismo","Dona","Conductor",39,"Ferit lleu",4581315.82,426819.99
"9851",4,21,333400,"0034 0034","Dilluns",2015,"Novembre",2,8,"No és causa del  vianant","Motocicleta","Dona","Conductor",30,"Ferit lleu",4582304.26,425414.28
"9853",4,21,359200,"0020X0020X","Dissabte",2015,"Març",21,1,"No és causa del  vianant","Taxi","Dona","Conductor",34,"Ferit lleu",4582540.18,426548.61
"9854",4,21,115400,"0005 0005","Diumenge",2015,"Agost",9,1,"No és causa del  vianant","Motocicleta","Dona","Conductor",41,"Ferit lleu",4581958.88,425088.71
"9855",4,21,144601,"0712 0716","Dilluns",2015,"Agost",24,5,"No és causa del  vianant","Turismo","Dona","Conductor",25,"Ferit lleu",4581892.29,425404.36
"9857",4,21,701267,"000490000","Divendres",2015,"Maig",15,7,"No és causa del  vianant","Turismo","Dona","Passatger",1,"Ferit lleu",4582016,425157.15
"9858",4,21,701268,"000490000","Dimarts",2015,"Novembre",10,6,"No és causa del  vianant","Motocicleta","Dona","Conductor",37,"Ferit lleu",4582009.6,425167.39
"9861",5,26,144601,"0606 0606","Dissabte",2015,"Abril",4,12,"No és causa del  vianant","Autobús","Dona","Passatger",81,"Ferit lleu",4582916.04,428444.16
"9865",5,26,28000,"0229 0233","Dimecres",2015,"Novembre",18,2,"No és causa del  vianant","Motocicleta","Dona","Passatger",18,"Ferit lleu",4583465.76,427895.22
"9866",5,26,28000,"0253 0253","Dijous",2015,"Febrer",5,2,"No és causa del  vianant","Ciclomotor","Dona","Conductor",45,"Ferit lleu",4583468.58,427645.35
"9868",5,26,155109,"0000 0000","Dilluns",2015,"Gener",12,11,"No és causa del  vianant","Motocicleta","Dona","Passatger",18,"Ferit lleu",4583252.71,427804.59
"9873",5,26,315806,"0003 0003","Divendres",2015,"Juliol",17,5,"No és causa del  vianant","Furgoneta","Dona","Vianant",90,"Ferit lleu",4583060.53,427816.4
"9874",5,26,196900,"0190 0190","Divendres",2015,"Maig",8,7,"No és causa del  vianant","Turismo","Dona","Passatger",0,"Ferit lleu",4583152.15,428518.96
"9875",5,26,196900,"0190 0190","Divendres",2015,"Maig",8,7,"No és causa del  vianant","Ciclomotor","Dona","Passatger",17,"Ferit lleu",4583152.15,428518.96
"9883",5,26,101904,"0028 0028","Dijous",2015,"Maig",14,6,"No és causa del  vianant","Motocicleta","Dona","Conductor",19,"Ferit lleu",4583193.32,427767.07
"9886",5,26,223606,"0439 0439","Dijous",2015,"Març",5,4,"No és causa del  vianant","Autobús","Dona","Passatger",69,"Ferit lleu",4583839.92,428214.85
"9888",5,26,144601,"0630 0630","Dijous",2015,"Maig",14,8,"No és causa del  vianant","Bicicleta","Dona","Conductor",44,"Ferit greu",4582786.76,428046.77
"9889",5,26,367752,"0001 0003","Diumenge",2015,"Juliol",5,3,"No és causa del  vianant","Turismo","Dona","Passatger",54,"Ferit lleu",4582911.12,428149.81
"9893",5,26,248403,"0004 0004","Divendres",2015,"Novembre",13,2,"No és causa del  vianant","Motocicleta","Dona","Conductor",38,"Ferit lleu",4583869.46,427943.49
"9899",5,26,344101,"0073 0079","Divendres",2015,"Març",6,10,"No és causa del  vianant","Motocicleta","Dona","Passatger",24,"Ferit lleu",4583386.73,429110.88
"9900",5,26,344101,"0085 0085","Dimecres",2015,"Novembre",11,11,"No és causa del  vianant","Motocicleta","Dona","Conductor",23,"Ferit lleu",4583419.1,429148.63
"9901",5,26,8501,"0030 0030","Dimarts",2015,"Març",10,7,"No és causa del  vianant","Motocicleta","Dona","Conductor",51,"Ferit lleu",4583542.8,429019.51
"9903",5,26,175900,"0069 0069","Divendres",2015,"Juliol",10,12,"No és causa del  vianant","Camión <= 3,5 Tm","Dona","Vianant",91,"Ferit lleu",4583343.69,428682.8
"9908",5,26,348408,"0010 0010","Diumenge",2015,"Març",1,6,"Altres","Turismo","Dona","Vianant",25,"Ferit lleu",4583224.11,429256.04
"9911",5,26,32700,"0176 0176","Dilluns",2015,"Juny",8,12,"No és causa del  vianant","Autobús","Dona","Passatger",31,"Ferit lleu",4583262.36,429378.23
"9916",5,26,28000,"0087 0087","Divendres",2015,"Abril",24,1,"No és causa del  vianant","Motocicleta","Dona","Conductor",51,"Ferit lleu",4583804.03,429051.99
"9921",5,26,175900,"0005 0005","Dilluns",2015,"Agost",24,9,"No és causa del  vianant","Motocicleta","Dona","Passatger",25,"Ferit lleu",4583715.44,429119.95
"9922",5,26,246805,"0059 0059","Dijous",2015,"Juny",4,8,"No és causa del  vianant","Turismo","Dona","Vianant",40,"Ferit lleu",4583341.67,428328.33
"9925",5,26,23403,"0215 0215","Dijous",2015,"Abril",9,2,"No és causa del  vianant","Ciclomotor","Dona","Conductor",56,"Ferit lleu",4583331.73,428914.97
"9926",5,26,299903,"0032 0032","Dijous",2015,"Maig",14,9,"No és causa del  vianant","Furgoneta","Dona","Passatger",28,"Ferit lleu",4583791.06,428870.77
"9936",5,26,32700,"0305 0305","Dimecres",2015,"Maig",27,10,"No és causa del  vianant","Turismo","Dona","Vianant",41,"Ferit lleu",4583974.38,428657.44
"9943",5,23,275202,"0024 0040","Dilluns",2015,"Maig",11,11,"No és causa del  vianant","Turismo","Dona","Vianant",17,"Ferit lleu",4583762.16,426411.04
"9944",5,23,249202,"0013 0015","Dijous",2015,"Novembre",26,2,"No és causa del  vianant","Motocicleta","Dona","Conductor",42,"Ferit lleu",4583650.76,426184.1
"9947",5,23,188006,"0002 0002","Divendres",2015,"Juny",19,7,"No és causa del  vianant","Motocicleta","Dona","Conductor",56,"Ferit lleu",4584144.33,426393.91
"9948",5,23,104301,"0023 0023","Dimecres",2015,"Novembre",11,7,"No és causa del  vianant","Motocicleta","Dona","Conductor",18,"Ferit lleu",4583935.8,426694.37
"9949",5,23,165805,"0001 0001","Divendres",2015,"Maig",8,11,"No és causa del  vianant","Motocicleta","Dona","Conductor",46,"Ferit lleu",4583473.67,426809.62
"9951",5,23,334800,"0002B0002B","Dilluns",2015,"Abril",27,10,"No és causa del  vianant","Motocicleta","Dona","Conductor",39,"Ferit lleu",4584394.01,426580.31
"9954",5,24,320704,"0092 0092","Dilluns",2015,"Desembre",14,3,"No és causa del  vianant","Ciclomotor","Dona","Conductor",23,"Ferit lleu",4582820.04,427820.49
"9955",5,23,322903,"0011 0011","Dimecres",2015,"Gener",28,5,"No és causa del  vianant","Turismo","Dona","Vianant",86,"Ferit lleu",4583209.92,426900.59
"9957",5,24,357103,"0055B0055B","Dissabte",2015,"Desembre",12,2,"No és causa del  vianant","Motocicleta","Dona","Conductor",48,"Ferit lleu",4583358.77,427107.01
"9961",5,24,16204,"0029 0029","Divendres",2015,"Octubre",16,5,"No és causa del  vianant","Motocicleta","Dona","Conductor",43,"Ferit lleu",4583344.15,427559.38
"9962",5,24,28000,"0261 0263","Dimecres",2015,"Abril",22,1,"No és causa del  vianant","Motocicleta","Dona","Passatger",52,"Ferit lleu",4583469.23,427539.42
"9964",5,24,28000,"0338 0340","Dijous",2015,"Maig",28,3,"No és causa del  vianant","Motocicleta","Dona","Conductor",25,"Ferit lleu",4583742.29,426868.77
"9966",5,23,701268,"000740000","Dissabte",2015,"Desembre",26,12,"No és causa del  vianant","Turismo","Dona","Conductor",43,"Ferit lleu",4584216.96,426330.47
"9967",5,23,305201,"0000 0000","Dimecres",2015,"Octubre",28,1,"No és causa del  vianant","Autobús","Dona","Passatger",41,"Ferit lleu",4583095.59,427161.93
"9969",5,23,305201,"0000 0000","Dilluns",2015,"Gener",5,11,"No és causa del  vianant","Motocicleta","Dona","Passatger",33,"Ferit lleu",4583095.59,427161.93
"9971",5,24,54906,"0001 0007","Dissabte",2015,"Març",28,6,"No és causa del  vianant","Turismo","Dona","Passatger",31,"Ferit lleu",4583557.4,427469.33
"9974",5,24,143904,"0005 0005","Divendres",2015,"Abril",10,1,"No és causa del  vianant","Autobús","Dona","Passatger",70,"Ferit lleu",4582969.66,427436.9
"9976",5,24,113007,"0041 0041","Dimarts",2015,"Novembre",24,6,"Creuar per fora pas de vianants","Turismo","Dona","Vianant",45,"Ferit greu",4583576.71,427590.49
"9978",5,24,227200,"0003 0003","Dimecres",2015,"Novembre",4,4,"No és causa del  vianant","Motocicleta","Dona","Conductor",31,"Ferit lleu",4583074.81,427564.58
"9979",5,24,143904,"0079 0079","Dimecres",2015,"Novembre",4,12,"No és causa del  vianant","Motocicleta","Dona","Conductor",42,"Ferit lleu",4583561.52,427631.9
"9982",5,25,44709,"0040 0040","Dimarts",2015,"Novembre",10,8,"No és causa del  vianant","Motocicleta","Dona","Conductor",18,"Ferit lleu",4584205.14,427288.36
"9983",5,25,44709,"0064 0064","Dijous",2015,"Octubre",29,10,"No és causa del  vianant","Turismo","Dona","Conductor",20,"Ferit lleu",4584048.28,427072.51
"9987",5,25,701629,"0040U0040U","Divendres",2015,"Desembre",11,2,"No és causa del  vianant","Turismo","Dona","Conductor",21,"Ferit lleu",4585316.98,427661.77
"9990",5,25,701268,"000840000","Divendres",2015,"Març",20,4,"No és causa del  vianant","Turismo","Dona","Conductor",27,"Ferit lleu",4584890.91,427058.44
"9991",5,25,701352,"0021I0021I","Divendres",2015,"Maig",8,1,"No és causa del  vianant","Turismo","Dona","Conductor",47,"Ferit lleu",4585144.25,427050.93
"9992",5,25,701268,"000900000","Dijous",2015,"Juny",11,8,"No és causa del  vianant","Turismo","Dona","Conductor",34,"Ferit lleu",4585278.82,427517.5
"9996",5,25,701438,"0004X0004X","Diumenge",2015,"Gener",25,2,"No és causa del  vianant","Turismo","Dona","Passatger",3,"Ferit lleu",4585657.64,427687.75
"9998",5,25,339203,"0031 0031","Dijous",2015,"Juny",11,2,"No és causa del  vianant","Ciclomotor","Dona","Conductor",23,"Ferit lleu",4583952.88,427679.83
"9999",5,25,9402,"0020 0020","Dimarts",2015,"Gener",20,11,"No és causa del  vianant","Turismo","Dona","Vianant",24,"Ferit lleu",4583800.94,427702.14
"10006",5,25,302203,"0051 0051","Divendres",2015,"Octubre",23,9,"No és causa del  vianant","Motocicleta","Dona","Vianant",57,"Ferit lleu",4584284.3,428023.28
"10007",5,25,41405,"0023 0023","Dijous",2015,"Juny",18,8,"No és causa del  vianant","Bicicleta","Dona","Conductor",34,"Ferit lleu",4584040.9,427701.28
"10012",5,27,32700,"0376 0378","Dimarts",2015,"Maig",5,10,"No és causa del  vianant","Ciclomotor","Dona","Conductor",45,"Ferit greu",4584250.14,428242.72
"10014",5,27,33509,"0009 0009","Dimecres",2015,"Juny",3,2,"No és causa del  vianant","Motocicleta","Dona","Conductor",22,"Ferit greu",4584367.58,428594.87
"10015",5,27,323101,"0044 0044","Dijous",2015,"Febrer",26,2,"No és causa del  vianant","Furgoneta","Dona","Vianant",83,"Ferit lleu",4584251.92,428721.46
"10022",5,22,700059,"0065 0065","Diumenge",2015,"Novembre",22,7,"No és causa del  vianant","Turismo","Dona","Passatger",24,"Ferit lleu",4585799.27,423996.77
"10031",6,28,116901,"0051 0055","Dimecres",2015,"Setembre",9,5,"No és causa del  vianant","Motocicleta","Dona","Passatger",17,"Ferit lleu",4585257.24,428216.7
"10033",6,28,163402,"0004 0004","Dimecres",2015,"Desembre",30,12,"No és causa del  vianant","Autobús","Dona","Passatger",66,"Ferit lleu",4585238.94,428763.77
"10034",6,28,116901,"0026 0026","Dissabte",2015,"Agost",8,2,"No és causa del  vianant","Turismo","Dona","Passatger",7,"Ferit lleu",4585380.19,428242.65
"10035",6,28,153602,"0000 0000","Dimarts",2015,"Març",3,7,"No és causa del  vianant","Motocicleta","Dona","Conductor",46,"Ferit lleu",4585282.04,428559.28
"10037",6,28,353703,"0041 0053","Divendres",2015,"Maig",22,7,"No és causa del  vianant","Motocicleta","Dona","Conductor",44,"Ferit lleu",4586035.94,427650.92
"10038",6,28,353703,"0041 0053","Dimarts",2015,"Juliol",21,7,"No és causa del  vianant","Turismo","Dona","Passatger",16,"Ferit lleu",4586035.94,427650.92
"10041",6,29,220903,"0019 0019","Dimecres",2015,"Desembre",16,1,"No és causa del  vianant","Turismo","Dona","Vianant",17,"Ferit lleu",4585482.49,428865.66
"10043",6,28,352507,"0029 0029","Divendres",2015,"Novembre",6,6,"No és causa del  vianant","Turismo","Dona","Conductor",46,"Ferit lleu",4585665.76,428080.25
"10044",6,30,304800,"0000 0000","Dijous",2015,"Juliol",16,12,"No és causa del  vianant","Taxi","Dona","Vianant",73,"Ferit lleu",4584935.85,429414.79
"10045",6,30,6109,"0019B0019B","Divendres",2015,"Agost",28,1,"Transitar a peu per la calçada","Furgoneta","Dona","Vianant",9,"Ferit greu",4584874.27,429086.18
"10050",6,31,356803,"0189 0195","Dilluns",2015,"Setembre",21,11,"No és causa del  vianant","Turismo","Dona","Conductor",28,"Ferit lleu",4584622.35,429262.14
"10052",6,31,310802,"0043 0043","Dimecres",2015,"Juny",10,9,"No és causa del  vianant","Motocicleta","Dona","Conductor",24,"Ferit lleu",4584512.99,429363.81
"10056",6,31,40005,"0001 0001","Divendres",2015,"Maig",29,10,"No és causa del  vianant","Turismo","Dona","Vianant",54,"Ferit lleu",4583747.94,429318.24
"10058",6,31,196004,"0011 0011","Dimecres",2015,"Juliol",8,10,"No és causa del  vianant","Autobús","Dona","Passatger",64,"Ferit lleu",4583631.14,429652.53
"10059",6,31,103400,"0009 0011","Dissabte",2015,"Novembre",7,3,"No és causa del  vianant","Ciclomotor","Dona","Conductor",46,"Ferit greu",4583438.24,429547.48
"10060",6,31,103400,"0009 0011","Dilluns",2015,"Novembre",23,8,"No és causa del  vianant","Motocicleta","Dona","Conductor",23,"Ferit lleu",4583438.24,429547.48
"10064",6,31,179107,"0016 0016","Dijous",2015,"Desembre",31,4,"No és causa del  vianant","Motocicleta","Dona","Conductor",33,"Ferit lleu",4583685.91,429302.24
"10069",6,32,90502,"0440 0440","Divendres",2015,"Abril",17,3,"No és causa del  vianant","Motocicleta","Dona","Conductor",51,"Ferit lleu",4583933.01,430456.43
"10070",6,32,31300,"0238 0238","Divendres",2015,"Juliol",31,2,"No és causa del  vianant","Motocicleta","Dona","Conductor",25,"Ferit lleu",4584087.43,430063.29
"10074",6,32,149605,"0033 0033","Dimarts",2015,"Desembre",8,9,"No és causa del  vianant","Motocicleta","Dona","Conductor",38,"Ferit lleu",4584084.08,430512.93
"10077",6,31,338506,"0056 0056","Dimecres",2015,"Octubre",28,1,"No és causa del  vianant","Motocicleta","Dona","Vianant",58,"Ferit lleu",4583931.35,430060.45
"10078",6,31,58408,"0014 0014","Dimarts",2015,"Febrer",17,6,"No és causa del  vianant","Autobús","Dona","Passatger",51,"Ferit lleu",4583782.67,430204.86
"10079",6,31,58408,"0015 0015","Dilluns",2015,"Gener",5,12,"No és causa del  vianant","Turismo","Dona","Vianant",73,"Ferit lleu",4583794.52,430204.03
"10081",6,32,289105,"0377 0377","Divendres",2015,"Febrer",27,10,"No és causa del  vianant","Motocicleta","Dona","Passatger",26,"Ferit lleu",4584035.24,430721.93
"10082",6,32,332306,"0004 0004","Dimarts",2015,"Juny",9,5,"No és causa del  vianant","Motocicleta","Dona","Conductor",19,"Ferit lleu",4584614.52,430274.6
"10091",6,32,344101,"0335 0335","Dimarts",2015,"Desembre",22,11,"No és causa del  vianant","Motocicleta","Dona","Conductor",36,"Ferit lleu",4584490.08,430454.32
"10098",7,39,336169,"0002 0004","Dissabte",2015,"Setembre",26,2,"No és causa del  vianant","Autobús","Dona","Passatger",45,"Ferit lleu",4586452.81,428296.53
"10104",7,41,700833,"0011 0011","Dimarts",2015,"Novembre",10,10,"No és causa del  vianant","Motocicleta","Dona","Conductor",40,"Ferit lleu",4587493.36,428960.17
"10106",7,40,352507,"0115 0115","Dimarts",2015,"Desembre",1,4,"No és causa del  vianant","Furgoneta","Dona","Vianant",90,"Ferit lleu",4586574.43,428431.36
"10110",7,36,141206,"0096 0100","Diumenge",2015,"Novembre",1,2,"No és causa del  vianant","Autobús","Dona","Passatger",60,"Ferit lleu",4586189.06,430702.48
"10113",7,41,700830,"0006 0006","Divendres",2015,"Octubre",30,2,"No és causa del  vianant","Turismo","Dona","Passatger",34,"Ferit lleu",4587329.97,428876.27
"10114",7,41,700830,"0006 0006","Dijous",2015,"Setembre",3,2,"No és causa del  vianant","Turismo","Dona","Conductor",30,"Ferit lleu",4587329.97,428876.27
"10115",7,41,700830,"0006 0006","Divendres",2015,"Gener",2,7,"No és causa del  vianant","Turismo","Dona","Passatger",30,"Ferit lleu",4587329.97,428876.27
"10122",7,43,135451,"0016 0016","Dissabte",2015,"Març",28,7,"No és causa del  vianant","Motocicleta","Dona","Passatger",16,"Ferit lleu",4588375.56,429595.29
"10123",7,36,248800,"0163 0163","Dimarts",2015,"Setembre",1,8,"No és causa del  vianant","Turismo","Dona","Vianant",81,"Ferit lleu",4586312.06,429928.61
"10128",7,43,305904,"0033 0033","Diumenge",2015,"Desembre",27,9,"No és causa del  vianant","Turismo","Dona","Conductor",38,"Ferit lleu",4588807.8,429648.92
"10131",7,43,352507,"0189 0189","Diumenge",2015,"Març",8,12,"No és causa del  vianant","Turismo","Dona","Passatger",1,"Ferit lleu",4587910.14,428999.89
"10133",7,43,157104,"0085 0085","Dimarts",2015,"Abril",21,11,"No és causa del  vianant","Taxi","Dona","Vianant",41,"Ferit lleu",4587232.07,429860.18
"10134",7,43,96203,"0017 0017","Dissabte",2015,"Novembre",28,11,"Creuar per fora pas de vianants","Motocicleta","Dona","Vianant",71,"Ferit lleu",4587181.1,430066.82
"10138",7,43,319206,"0011 0011","Dimarts",2015,"Abril",7,8,"No és causa del  vianant","Autobús","Dona","Passatger",74,"Ferit lleu",4587071.09,430106.4
"10139",7,43,356009,"0029 0029","Dissabte",2015,"Novembre",28,10,"No és causa del  vianant","Motocicleta","Dona","Conductor",48,"Ferit lleu",4587582.35,429446.61
"10141",7,43,185700,"0018 0020","Dissabte",2015,"Gener",3,7,"No és causa del  vianant","Turismo","Dona","Vianant",51,"Ferit lleu",4586776.93,430154.94
"10143",7,43,312706,"0059 0059","Dimecres",2015,"Setembre",23,8,"No és causa del  vianant","Turismo","Dona","Conductor",33,"Ferit lleu",4586961.72,430128.49
"10145",7,43,312706,"0060 0060","Dimarts",2015,"Febrer",10,6,"Creuar per fora pas de vianants","Motocicleta","Dona","Vianant",53,"Ferit lleu",4586989.08,430147.17
"10147",7,43,30307,"0003 0003","Divendres",2015,"Gener",23,10,"No és causa del  vianant","Ciclomotor","Dona","Passatger",9,"Ferit lleu",4586990.57,430221.18
