"","Codi.districte","Codi.barri","Codi.carrer","Num.postal.caption","Descripció.dia.setmana","NK.Any","Nom.mes","Dia.de.mes","Hora.de.dia","Descripció.causa.vianant","Desc..Tipus.vehicle.implicat","Descripció.sexe","Descripció.tipus.persona","Edat","Descripció.victimització","Coordenada.UTM..Y.","Coordenada.UTM..X."
"3004",10,71,144601,"0152 0152","Dimarts",2015,"Desembre",15,12,"No és causa del  vianant","Motocicleta","Home","Conductor",36,"Ferit lleu",4584361.03,433004.54
"3005",10,71,200600,"0001 0003","Dijous",2015,"Juny",18,1,"No és causa del  vianant","Motocicleta","Home","Conductor",52,"Ferit lleu",4584390.23,433046.26
"3006",10,71,249304,"0288X0288X","Dissabte",2015,"Juny",27,5,"No és causa del  vianant","Ciclomotor","Home","Conductor",31,"Ferit lleu",4584432.53,433309.2
"3007",10,71,30409,"0131 0133","Dimecres",2015,"Gener",14,11,"No és causa del  vianant","Motocicleta","Home","Conductor",40,"Ferit lleu",4584743.17,433310.21
"3008",10,71,253902,"0122 0122","Dilluns",2015,"Setembre",21,11,"No és causa del  vianant","Motocicleta","Home","Conductor",34,"Ferit lleu",4584803,433117.47
"3009",10,71,253902,"0140 0142","Dimecres",2015,"Novembre",4,8,"No és causa del  vianant","Ciclomotor","Home","Conductor",40,"Ferit lleu",4584861.28,433173.63
"3010",10,71,701414,"020710000","Divendres",2015,"Octubre",9,7,"No és causa del  vianant","Turismo","Dona","Conductor",36,"Ferit lleu",4584971.32,433081.94
"3011",10,71,701414,"020710000","Dimarts",2015,"Juliol",7,8,"No és causa del  vianant","Turismo","Dona","Passatger",50,"Ferit lleu",4584971.32,433081.94
"3012",10,68,55501,"0005 0005","Dijous",2015,"Agost",13,12,"No és causa del  vianant","Motocicleta","Home","Conductor",44,"Ferit lleu",4583314.3,433668.11
"3013",10,68,186703,"0134 0134","Divendres",2015,"Maig",8,1,"No és causa del  vianant","Ciclomotor","Home","Conductor",44,"Ferit lleu",4583446.2,433074.5
"3014",10,68,242906,"0150 0150","Dilluns",2015,"Desembre",28,6,"No és causa del  vianant","Taxi","Home","Conductor",55,"Ferit lleu",4583544.5,432789.85
"3015",10,68,75702,"0065 0065","Divendres",2015,"Abril",17,3,"No és causa del  vianant","Autobús","Home","Conductor",41,"Ferit lleu",4582999.35,433378.04
"3016",10,71,701414,"020830000","Diumenge",2015,"Abril",19,11,"No és causa del  vianant","Turismo","Dona","Passatger",28,"Ferit lleu",4585808.01,433936.57
